circuitId,url,circuitName,locality,country,latitude,longitude
adelaide,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
ain-diab,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain Diab,Casablanca,Morocco,33.5786,-7.6875
aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,Liverpool,UK,53.4769,-2.94056
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042
avus,http://en.wikipedia.org/wiki/AVUS,AVUS,Berlin,Germany,52.4806,13.2514
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325
brands_hatch,http://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch,Kent,UK,51.3569,0.263056
bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194
buddh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331
catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
charade,http://en.wikipedia.org/wiki/Charade_Circuit,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889
dallas,http://en.wikipedia.org/wiki/Fair_Park,Fair Park,Dallas,USA,32.7774,-96.7587
detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401
dijon,http://en.wikipedia.org/wiki/Dijon-Prenois,Dijon-Prenois,Dijon,France,47.3625,4.89913
donington,http://en.wikipedia.org/wiki/Donington_Park,Donington Park,Castle Donington,UK,52.8306,-1.37528
essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458
estoril,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
fuji,http://en.wikipedia.org/wiki/Fuji_Speedway,Fuji Speedway,Oyama,Japan,35.3717,138.927
galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593
george,http://en.wikipedia.org/wiki/Prince_George_Circuit,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736
hockenheimring,http://en.wikipedia.org/wiki/Hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
