season,round,position,points,wins,driverId
2000,1,1,10.0,1,michael_schumacher
2000,1,2,6.0,0,barrichello
2000,1,3,4.0,0,ralf_schumacher
2000,1,4,3.0,0,villeneuve
2000,1,5,2.0,0,fisichella
2000,1,6,1.0,0,zonta
2000,1,7,0.0,0,wurz
2000,1,8,0.0,0,gene
2000,1,9,0.0,0,heidfeld
2000,2,1,20.0,2,michael_schumacher
2000,2,2,8.0,0,fisichella
2000,2,3,6.0,0,barrichello
2000,2,4,6.0,0,ralf_schumacher
2000,2,5,4.0,0,frentzen
2000,2,6,3.0,0,trulli
2000,2,7,3.0,0,villeneuve
2000,2,8,1.0,0,zonta
2000,2,9,1.0,0,button
2000,2,10,0.0,0,verstappen
2000,2,11,0.0,0,wurz
2000,2,12,0.0,0,rosa
2000,2,13,0.0,0,gene
2000,2,14,0.0,0,heidfeld
2000,2,15,0.0,0,mazzacane
2000,3,1,30.0,3,michael_schumacher
2000,3,2,9.0,0,barrichello
2000,3,3,8.0,0,fisichella
2000,3,4,6.0,0,hakkinen
2000,3,5,6.0,0,ralf_schumacher
2000,3,6,5.0,0,villeneuve
2000,3,7,4.0,0,coulthard
2000,3,8,4.0,0,frentzen
2000,3,9,3.0,0,trulli
2000,3,10,1.0,0,zonta
2000,3,11,1.0,0,button
2000,3,12,1.0,0,salo
2000,3,13,0.0,0,wurz
2000,3,14,0.0,0,verstappen
2000,3,15,0.0,0,irvine
2000,3,16,0.0,0,rosa
2000,3,17,0.0,0,diniz
2000,3,18,0.0,0,gene
2000,3,19,0.0,0,heidfeld
2000,3,20,0.0,0,mazzacane
2000,3,21,0.0,0,herbert
2000,4,1,34.0,3,michael_schumacher
2000,4,2,14.0,1,coulthard
2000,4,3,12.0,0,hakkinen
2000,4,4,9.0,0,barrichello
2000,4,5,9.0,0,ralf_schumacher
2000,4,6,8.0,0,fisichella
2000,4,7,5.0,0,villeneuve
2000,4,8,4.0,0,frentzen
2000,4,9,4.0,0,trulli
2000,4,10,3.0,0,button
2000,4,11,1.0,0,salo
2000,4,12,1.0,0,zonta
2000,4,13,0.0,0,wurz
2000,4,14,0.0,0,irvine
2000,4,15,0.0,0,verstappen
2000,4,16,0.0,0,diniz
2000,4,17,0.0,0,gene
2000,4,18,0.0,0,rosa
2000,4,19,0.0,0,heidfeld
2000,4,20,0.0,0,herbert
2000,4,21,0.0,0,mazzacane
2000,4,22,0.0,0,alesi
2000,5,1,36.0,3,michael_schumacher
2000,5,2,22.0,1,hakkinen
2000,5,3,20.0,1,coulthard
2000,5,4,13.0,0,barrichello
2000,5,5,12.0,0,ralf_schumacher
2000,5,6,8.0,0,fisichella
2000,5,7,5.0,0,frentzen
2000,5,8,5.0,0,villeneuve
2000,5,9,4.0,0,trulli
2000,5,10,3.0,0,button
2000,5,11,1.0,0,salo
2000,5,12,1.0,0,zonta
2000,5,13,0.0,0,wurz
2000,5,14,0.0,0,irvine
2000,5,15,0.0,0,verstappen
2000,5,16,0.0,0,diniz
2000,5,17,0.0,0,gene
2000,5,18,0.0,0,rosa
2000,5,19,0.0,0,heidfeld
2000,5,20,0.0,0,herbert
2000,5,21,0.0,0,mazzacane
2000,5,22,0.0,0,alesi
2000,6,1,46.0,4,michael_schumacher
2000,6,2,28.0,1,hakkinen
2000,6,3,24.0,1,coulthard
2000,6,4,16.0,0,barrichello
2000,6,5,12.0,0,ralf_schumacher
2000,6,6,10.0,0,fisichella
2000,6,7,5.0,0,frentzen
2000,6,8,5.0,0,villeneuve
2000,6,9,4.0,0,trulli
2000,6,10,3.0,0,button
2000,6,11,1.0,0,salo
2000,6,12,1.0,0,zonta
2000,6,13,1.0,0,rosa
2000,6,14,0.0,0,diniz
2000,6,15,0.0,0,wurz
2000,6,16,0.0,0,irvine
2000,6,17,0.0,0,verstappen
2000,6,18,0.0,0,mazzacane
2000,6,19,0.0,0,gene
2000,6,20,0.0,0,alesi
2000,6,21,0.0,0,heidfeld
2000,6,22,0.0,0,herbert
2000,7,1,46.0,4,michael_schumacher
2000,7,2,34.0,2,coulthard
2000,7,3,29.0,1,hakkinen
2000,7,4,22.0,0,barrichello
2000,7,5,14.0,0,fisichella
2000,7,6,12.0,0,ralf_schumacher
2000,7,7,5.0,0,frentzen
2000,7,8,5.0,0,villeneuve
