Season,Round,CircuitID,Position,DriverID,Code,PermanentNumber,GivenName,FamilyName,DateOfBirth,Nationality,ConstructorID,ConstructorName,ConstructorNationality,Q1,Q2,Q3
2000,1,albert_park,1,hakkinen,,0,Mika,Häkkinen,1968-09-28,Finnish,mclaren,McLaren,British,1:30.556,0,0
2000,1,albert_park,2,coulthard,COU,0,David,Coulthard,1971-03-27,British,mclaren,McLaren,British,1:30.910,0,0
2000,1,albert_park,3,michael_schumacher,MSC,0,Michael,Schumacher,1969-01-03,German,ferrari,Ferrari,Italian,1:31.075,0,0
2000,1,albert_park,4,barrichello,BAR,0,Rubens,Barrichello,1972-05-23,Brazilian,ferrari,Ferrari,Italian,1:31.102,0,0
2000,1,albert_park,5,frentzen,,0,Heinz-Harald,Frentzen,1967-05-18,German,jordan,Jordan,Irish,1:31.359,0,0
2000,1,albert_park,6,trulli,TRU,0,Jarno,Trulli,1974-07-13,Italian,jordan,Jordan,Irish,1:31.504,0,0
2000,1,albert_park,7,irvine,,0,Eddie,Irvine,1965-11-10,British,jaguar,Jaguar,British,1:31.514,0,0
2000,1,albert_park,8,villeneuve,VIL,0,Jacques,Villeneuve,1971-04-09,Canadian,bar,BAR,British,1:31.968,0,0
2000,1,albert_park,9,fisichella,FIS,0,Giancarlo,Fisichella,1973-01-14,Italian,benetton,Benetton,Italian,1:31.992,0,0
2000,1,albert_park,10,salo,,0,Mika,Salo,1966-11-30,Finnish,sauber,Sauber,Swiss,1:32.018,0,0
2000,1,albert_park,11,ralf_schumacher,SCH,0,Ralf,Schumacher,1975-06-30,German,williams,Williams,British,1:32.220,0,0
2000,1,albert_park,12,rosa,DLR,0,Pedro,de la Rosa,1971-02-24,Spanish,arrows,Arrows,British,1:32.323,0,0
2000,1,albert_park,13,verstappen,,0,Jos,Verstappen,1972-03-04,Dutch,arrows,Arrows,British,1:32.477,0,0
2000,1,albert_park,14,wurz,WUR,0,Alexander,Wurz,1974-02-15,Austrian,benetton,Benetton,Italian,1:32.775,0,0
2000,1,albert_park,15,heidfeld,HEI,0,Nick,Heidfeld,1977-05-10,German,prost,Prost,French,1:33.024,0,0
2000,1,albert_park,16,zonta,ZON,0,Ricardo,Zonta,1976-03-23,Brazilian,bar,BAR,British,1:33.117,0,0
2000,1,albert_park,17,alesi,,0,Jean,Alesi,1964-06-11,French,prost,Prost,French,1:33.197,0,0
2000,1,albert_park,18,gene,,0,Marc,Gené,1974-03-29,Spanish,minardi,Minardi,Italian,1:33.261,0,0
2000,1,albert_park,19,diniz,,0,Pedro,Diniz,1970-05-22,Brazilian,sauber,Sauber,Swiss,1:33.378,0,0
2000,1,albert_park,20,herbert,,0,Johnny,Herbert,1964-06-25,British,jaguar,Jaguar,British,1:33.638,0,0
2000,1,albert_park,21,button,BUT,22,Jenson,Button,1980-01-19,British,williams,Williams,British,1:33.828,0,0
2000,1,albert_park,22,mazzacane,,0,Gastón,Mazzacane,1975-05-08,Argentine,minardi,Minardi,Italian,1:34.705,0,0
2000,3,imola,1,hakkinen,,0,Mika,Häkkinen,1968-09-28,Finnish,mclaren,McLaren,British,1:24.714,0,0
2000,3,imola,2,michael_schumacher,MSC,0,Michael,Schumacher,1969-01-03,German,ferrari,Ferrari,Italian,1:24.805,0,0
2000,3,imola,3,coulthard,COU,0,David,Coulthard,1971-03-27,British,mclaren,McLaren,British,1:25.014,0,0
2000,3,imola,4,barrichello,BAR,0,Rubens,Barrichello,1972-05-23,Brazilian,ferrari,Ferrari,Italian,1:25.871,0,0
2000,3,imola,5,ralf_schumacher,SCH,0,Ralf,Schumacher,1975-06-30,German,williams,Williams,British,1:25.871,0,0
